ime,ulica,mesto,posta,regija,koordinate,center,dolzina,trajanje,pot
JPK Trbovlje d.o.o.,Savinjska cesta 11 A,Trbovlje,1420 Trbovlje,ZASAVSKA,46.16441892;15.0513147,0,72.34,51,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;31.98--TROJANE;0.14--V ZIDEH;0.23--PREDOR V ZIDEH;0.31--V ZIDEH;0.38--POLŠINA;0.46--HRASTNIK PRI TROJANAH;0.21--POLŠINA;0.01--HRASTNIK PRI TROJANAH;0.14--POLŠINA;0.47--HRASTNIK PRI TROJANAH;0.11--POLŠINA;0.02--HRASTNIK PRI TROJANAH;0.05--POLŠINA;0.04--HRASTNIK PRI TROJANAH;0.02--POLŠINA;0.07--HRASTNIK PRI TROJANAH;0.01--POLŠINA;0.13--OREHOVICA;1.64--PODLIPOVICA;0.69--MEDIJSKE TOPLICE;0.42--IZLAKE;0.71--OBREZIJA;0.79--SPODNJE IZLAKE;0.96--IZLAKE;0.32--LOKE PRI ZAGORJU;0.99--BOROVNIŠKO NASELJE;0.48--TRG POHORSKEGA BATALJONA;0.17--RUDARSKA CESTA;0.08--PETELINKARJEVA CESTA;0.38--PODKRAJ PRI ZAGORJU;0.11--LOKE PRI ZAGORJU;0.04--PODKRAJ PRI ZAGORJU;0.4--LOKE PRI ZAGORJU;0.48--PODVINE;0.61--KOPALIŠKA ULICA;0.67--PREČNA POT;0.06--CESTA ZMAGE;0.14--CESTA BORISA KIDRIČA;0.03--CESTA 9. AVGUSTA;1.39--SELO PRI ZAGORJU;1.44--PRAPREČE - DEL;0.05--SELO PRI ZAGORJU;0.02--PRAPREČE - DEL;0.3--TRBOVLJE;0.14--PRAPREČE - DEL;0.01--TRBOVLJE;0.14--BEVŠKO;1.66--KOLODVORSKA CESTA;0.17--VODENSKA CESTA;1.23--TRG REVOLUCIJE;0.54--TRG SVOBODE;0.42--NOVI DOM;0.22--DOM IN VRT;0.23--ULICA SALLAUMINES;0.08--OBRTNIŠKA CESTA;0.55--TRG FRANCA FAKINA;0.24--SAVINJSKA CESTA;0.32--CESTA TONČKE ČEČ;0.04
JPKSP Litija d.o.o.,Ponoviška cesta 15,Litija,1270 Litija,OSREDNJESLOVENSKA,46.06228883;14.8327405,0,47.98,36,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;1.99--ŠENTJAKOB;0.26--ZASAVSKA CESTA;0.37--BRINJE;0.98--BERIČEVO;1.5--VIDEM;0.46--ZABORŠT PRI DOLU;1.23--DOL PRI LJUBLJANI;0.29--PODGORA PRI DOLSKEM;1.07--DOLSKO;0.71--PETELINJE;0.14--DOLSKO;0.53--KAMNICA;0.42--DOLSKO;1.98--SENOŽETI;3.71--RIBČE;3.19--VERNEK;2.83--ZGORNJI HOTIČ;1.0--SPODNJI HOTIČ;1.72--ZGORNJI LOG;1.75--LITIJA;2.21--LJUBLJANSKA CESTA;0.81--PONOVIŠKA CESTA;0.62
Komunala d.o.o. Sevnica,Naselje heroja Maroka 17,Sevnica,8290 Sevnica,SPODNJEPOSAVSKA,46.01164311;15.2996621,0,87.33,63,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;36.86--TREBNJE - ZAHOD;0.19--PRIKLJUČEK TREBNJE - ZAHOD;0.39--BREZA;0.64--ŠTEFAN PRI TREBNJEM;0.96--BENEČIJA;0.9--CESTA VILME BUKOVEC;1.89--METELKOVA ULICA;1.44--GORENJE MEDVEDJE SELO;0.43--DOL PRI TREBNJEM;1.55--GOMILA;1.22--BREZOVICA PRI MIRNI;0.6--MIRNA;0.91--GLAVNA CESTA;0.83--MIRNA;0.41--TRSTENIK;0.55--STRAŽA;0.51--SLOVENSKA VAS;0.45--RAKOVNIK PRI ŠENTRUPERTU;1.12--PRELESJE;0.53--BISTRICA;0.9--PUŠČAVA;0.13--BISTRICA;0.01--PUŠČAVA;0.92--BISTRICA;0.01--PUŠČAVA;0.01--BISTRICA;0.02--PUŠČAVA;0.03--GORENJE JESENICE;0.12--PUŠČAVA;0.16--GORENJE JESENICE;0.57--HRASTOVICA;0.14--DOLENJE JESENICE;0.03--HRASTOVICA;1.35--PIJAVICE;1.03--SKROVNIK;0.91--KAPLJA VAS;0.93--TRŽIŠČE;1.06--SPODNJE VODALE;2.23--KRIŽ;0.4--GABRJE;2.97--KRIŽ;0.29--JELOVEC;2.1--KRIŽ;0.28--LAZE PRI BOŠTANJU;2.75--RADNA;1.65--DOLENJI BOŠTANJ;0.54--BOŠTANJ;0.12--SEVNICA;0.14--HERMANOVA CESTA;0.27--ŠMARSKA CESTA;0.29--SEVNICA;0.03--KVEDROVA CESTA;0.14--NASELJE HEROJA MAROKA;0.07
Komunala IDRIJA d.o.o.,Idrija,Idrija,5280 Idrija,GORIŠKA,46.00125899;14.02210137,0,51.66,40,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;20.4--LOGATEC;3.36--CESTA TALCEV;0.01--LOGATEC;0.02--TRŽAŠKA CESTA;2.13--KALCE;3.7--RAVNIK PRI HOTEDRŠICI;2.05--HOTEDRŠICA;2.18--NOVI SVET;2.65--GODOVIČ;6.18--JELIČNI VRH;4.25--GREGORČIČEVA ULICA;2.58--VOJKOVA ULICA;0.09--LAPAJNETOVA ULICA;0.32--ROŽNA ULICA;0.2--MESTNI TRG;0.04
Komunala IDRIJA d.o.o.,Cerkno,Cerkno,5282 Cerkno,GORIŠKA,46.12821791;13.99151719,0,71.1,57,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;20.4--LOGATEC;3.36--CESTA TALCEV;0.01--LOGATEC;0.02--TRŽAŠKA CESTA;2.13--KALCE;3.7--RAVNIK PRI HOTEDRŠICI;2.05--HOTEDRŠICA;2.18--NOVI SVET;2.65--GODOVIČ;6.18--JELIČNI VRH;4.25--GREGORČIČEVA ULICA;2.58--VOJKOVA ULICA;1.99--SPODNJA IDRIJA;0.23--NA VASI;0.14--IDRIJSKA CESTA;1.11--NA VASI;0.22--SLOVENSKA CESTA;0.44--TOLMINSKA CESTA;3.93--TRAVNIK;0.11--JAZNE;0.44--TRAVNIK;0.01--JAZNE;0.16--TRAVNIK;1.52--OTALEŽ;0.55--TRAVNIK;0.03--PLUŽNJE;2.22--STRAŽA;2.69--GORIŠKA CESTA;3.69--BEVKOVA ULICA;0.42--GLAVNI TRG;0.04--MOČNIKOVA ULICA;0.14--POT V STRANO;0.04
"Komunala Kočevje, d.o.o.",Tesarska ulica 10,Kočevje,1330 Kočevje,JUGOVZHODNA,45.64041385;14.86349041,0,69.81,59,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;5.54--ŠMARJE-SAP;0.41--MALI VRH PRI ŠMARJU;0.07--RIMSKA CESTA;0.1--TLAKE;1.24--ŠMARSKA CESTA;0.78--KOČEVSKA CESTA;1.51--GUMNIŠČE;1.14--KOČEVSKA CESTA;2.03--SMRJENE;1.8--KOČEVSKA CESTA;1.69--VRH NAD ŽELIMLJAMI;0.87--ŽELIMLJE;0.01--VRH NAD ŽELIMLJAMI;0.37--ŽELIMLJE;0.66--VELIKI LOČNIK;0.78--TURJAK;0.15--MALI LOČNIK;1.34--SLOKA GORA;0.19--TURJAK;1.63--PRAZNIKI;0.12--LAPORJE;0.96--RAŠICA;1.75--MALE LAŠČE;1.24--VELIKE LAŠČE;0.32--TRUBARJEVA CESTA;1.21--VELIKE LAŠČE;0.27--SROBOTNIK PRI VEL. LAŠČAH;0.08--VELIKE LAŠČE;0.05--SROBOTNIK PRI VEL. LAŠČAH;0.23--DOLNJE RETJE;0.56--GORNJE RETJE;0.58--PRILESJE;1.34--GORENJE PODPOLJANE;0.28--PRILESJE;0.05--GORENJE PODPOLJANE;0.2--DOLENJE PODPOLJANE;0.78--PRAPROČE;0.4--ORTNEK;1.12--DULE;0.03--ORTNEK;0.03--DULE;0.05--ORTNEK;1.28--DULE;0.3--ORTNEK;0.29--VIADUKT ŽLEBIČ;0.1--ŽLEBIČ;1.37--BREŽE;0.57--CESTA I;1.07--BREG PRI RIBNICI NA DOL.;0.67--GORENJSKA CESTA;1.31--KOLODVORSKA ULICA;0.06--ŠKRABČEV TRG;0.37--ŠEŠKOVA ULICA;0.15--HROVAČA;0.6--GORIČA VAS;1.07--NEMŠKA VAS;0.84--PRIGORICA;0.97--ZA VODO;0.34--DOLENJA VAS;1.96--RAKITNICA;0.38--DOLENJA VAS;0.37--GORNJE LOŽINE;1.96--DOLNJE LOŽINE;0.14--GORNJE LOŽINE;0.33--DOLNJE LOŽINE;0.51--NOVE LOŽINE;0.13--MRTVICE;0.05--NOVE LOŽINE;0.01--MRTVICE;1.87--SLOVENSKA VAS;0.13--STARA CERKEV;0.11--SLOVENSKA VAS;0.29--STARA CERKEV;0.13--SLOVENSKA VAS;0.5--BREG PRI KOČEVJU;0.99--PODJETNIŠKO NASELJE KOČEVJE;0.59--LJUBLJANSKA CESTA;0.48--KOČEVJE;0.0--LJUBLJANSKA CESTA;0.21--KOLODVORSKA CESTA;0.38--TOMŠIČEVA CESTA;0.62
"Komunala Kranjska Gora, d.o.o.",Spodnje Rute 50,Kranjska Gora,4282 Gozd Martuljek,GORENJSKA,46.47919283;13.87602378,0,81.59,47,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;66.14--JESENICE - ZAHOD;0.35--PRIKLJUČEK JESENICE - ZAHOD;0.23--HRUŠICA;0.04--DOVJE;6.75--BELCA;2.96--GOZD MARTULJEK;0.73--BELCA;0.02--GOZD MARTULJEK;0.2--BELCA;0.06--GOZD MARTULJEK;0.13--BELCA;0.27--GOZD MARTULJEK;0.12
Komunala Nova Gorica d.d.,Dobrovo,Dobrovo,5212 Dobrovo,GORIŠKA,45.9988624;13.52961404,0,116.56,71,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;39.8--NOVA GORICA;0.19--PRIKLJUČEK NOVA GORICA;0.06--CESTA GORIŠKE FRONTE;0.05--ŠEMPETER PRI GORICI;2.19--VIPAVSKA CESTA;0.04--PRIKLJUČEK RONDO ROŽNA DOLINA;0.18--VIPAVSKA CESTA;0.87--PREDOR PANOVEC;0.26--VOJKOVA CESTA;1.54--OBVOZNICA;1.32--PREDOR ZAGRAD;0.22--VIADUKT ZAGRAD;0.05--OBVOZNICA;0.38--SOŠKA CESTA;0.14--SOLKAN;0.26--ŠMAVER;2.96--PODSABOTIN;3.76--HUM;1.42--KOJSKO;1.68--GONJAČE;0.94--ŠMARTNO;2.11--ZALI BREG;0.86--BILJANA;0.2--GORIŠKA CESTA;0.42
Komunala Nova Gorica d.d.,Miren,Miren,5292 Renče,GORIŠKA,45.89609069;13.60720015,0,100.42,55,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;41.54--VRTOJBA;0.12--MEDNARODNI PREHOD;0.39--;0.19--POD LAZAMI;0.06--;0.37--KROŽNA CESTA;0.26--;1.85--MIREN;0.95
Komunala Nova Gorica d.d.,Cesta 25. junija 1 A,Nova Gorica,5100 Nova Gorica,GORIŠKA,45.95417056;13.6553412,0,99.37,56,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;35.08--VOGRSKO;0.08--PRIKLJUČEK VOGRSKO;0.67--VOGRSKO;1.34--OZELJAN;2.12--ŠMIHEL;0.82--AJŠEVICA;1.44--LOKE;0.04--ROŽNA DOLINA;0.48--KROMBERK;2.15--CESTA 25. JUNIJA;0.46
Komunala Nova Gorica d.d.,Branik,Branik,5295 Branik,GORIŠKA,45.85496478;13.78824781,0,87.98,54,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;19.16--AJDOVŠČINA;0.35--MIRCE;1.06--AJDOVŠČINA;0.1--GORIŠKA CESTA;0.18--AJDOVŠČINA;0.02--GORIŠKA CESTA;0.01--CESTA;2.77--SKRILJE;0.15--DOBRAVLJE;1.35--POTOČE;3.15--BRJE;1.27--;1.09--PRESERJE;0.71--BRANIK;1.92
Komunala Nova Gorica d.d.,Stara Gora,Stara Gora,5100 Nova Gorica,GORIŠKA,46.59042011;15.89767858,0,161.76,88,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;16.04--SPODNJA SENARSKA;0.21--PRIKLJUČEK SPODNJA SENARSKA;0.09--ZGORNJA SENARSKA;0.33--PTUJSKA CESTA;0.38--MARIBORSKA CESTA;1.36--TROJIŠKI TRG;0.4--SV. TROJICA V SLOV. GORICAH;0.02--RADGONSKA CESTA;0.32--SV. TROJICA V SLOV. GORICAH;0.06--ZGORNJE VERJANE;1.54--OSEK;0.83--STARA GORA;0.43
Komunala Nova Gorica d.d.,Renče,Renče,5292 Renče,GORIŠKA,45.8897305;13.66998046,0,96.86,55,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;35.08--VOGRSKO;0.08--PRIKLJUČEK VOGRSKO;0.67--VOGRSKO;2.61--DOMBRAVA;0.69--VOLČJA DRAGA;1.25--BUKOVICA;1.6--TRG;0.18
Komunala Nova Gorica d.d.,Cesta Goriške fronte 11,Šempeter,3311 Šempeter,SAVINJSKA,45.92968199;13.64111648,0,96.09,51,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;39.8--NOVA GORICA;0.19--PRIKLJUČEK NOVA GORICA;0.06--CESTA GORIŠKE FRONTE;1.22--ULICA PADLIH BORCEV;0.14
Komunala Nova Gorica d.d.,Kanal,Kanal,5213 Kanal,GORIŠKA,46.08789281;13.6347075,0,119.46,70,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;39.8--NOVA GORICA;0.19--PRIKLJUČEK NOVA GORICA;0.06--CESTA GORIŠKE FRONTE;0.05--ŠEMPETER PRI GORICI;2.19--VIPAVSKA CESTA;0.04--PRIKLJUČEK RONDO ROŽNA DOLINA;0.18--VIPAVSKA CESTA;0.87--PREDOR PANOVEC;0.26--VOJKOVA CESTA;1.54--OBVOZNICA;1.32--PREDOR ZAGRAD;0.22--VIADUKT ZAGRAD;0.05--OBVOZNICA;0.38--SOŠKA CESTA;1.34--SOLKAN;1.75--ZAGOMILA;5.23--ULICA IVANA GRADNIKA;2.24--GLOBNO;1.75--SREBRNIČEVA ULICA;1.45--RODEŽ;1.51--MORSKO;1.51--KANAL;0.04--VOJKOVA ULICA;0.51--STANIČEVA ULICA;0.11--GRADNIKOVA ULICA;0.19
Komunala Nova Gorica d.d.,Vrtojba,Vrtojba,5100 Nova Gorica,GORIŠKA,45.90885984;13.63639764,0,98.38,53,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;41.54--VRTOJBA;0.12--MEDNARODNI PREHOD;0.39--;0.19--POD LAZAMI;0.06--;0.37--OBMEJNA CESTA;0.15--KROŽNA CESTA;0.53--ULICA 9. SEPTEMBRA;0.04--ULICA ZAPUČKE;0.28
"Komunala Novo mesto d.o.o., JP",Leskovec 13,Leskovec,8273 Leskovec,SPODNJEPOSAVSKA,46.38699333;15.61577919,0,121.36,66,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;97.9--SLOVENSKA BISTRICA - SEVER;0.2--PRIKLJUČEK SLOVENSKA BISTRICA - SEVER;0.5--POKOŠE;1.5--SPODNJA POLSKAVA;0.45--;0.27--LESKOVEC;2.35
"Komunala Novo mesto d.o.o., JP",Podbevškova ulica 12,Novo mesto,8000 Novo mesto,JUGOVZHODNA,45.80458943;15.19814025,0,75.68,42,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;57.09--NOVO MESTO - VZHOD;0.11--PRIKLJUČEK NOVO MESTO - VZHOD;0.23--NA BREZOVICI;0.33--ZAGREBŠKA CESTA;0.97--ANDRIJANIČEVA CESTA;1.05--LEVIČNIKOVA CESTA;1.77--ŠENTJERNEJSKA CESTA;1.26--PODBEVŠKOVA ULICA;0.51
Komunala Radovljica d.o.o.,Radovljica,Radovljica,4240 Radovljica,GORENJSKA,46.3424526;14.17205637,0,53.52,29,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;46.81--RADOVLJICA;0.65--PRIKLJUČEK RADOVLJICA;0.2--GORICA;0.4--RADOVLJICA;0.83--;0.12--KRANJSKA CESTA;0.73--GORENJSKA CESTA;0.17
Komunala Slovenska Bistrica d.o.o.,Leonova ulica 13,Slovenska Bistrica,2310 Slovenska Bistrica,PODRAVSKA,46.38336685;15.56528188,0,115.3,61,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;95.28--SLOVENSKA BISTRICA - JUG;0.14--PRIKLJUČEK SLOVENSKA BISTRICA JUG;0.8--LJUBLJANSKA CESTA;0.71--STEPIŠNIKOVA ULICA;0.03--LEONOVA ULICA;0.14
Komunala Tolmin JP d.d.,Poljubinj 89 H,Tolmin,5220 Tolmin,GORIŠKA,46.18132789;13.74706134,0,95.08,76,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;20.4--LOGATEC;3.36--CESTA TALCEV;0.01--LOGATEC;0.02--TRŽAŠKA CESTA;2.13--KALCE;3.7--RAVNIK PRI HOTEDRŠICI;2.05--HOTEDRŠICA;2.18--NOVI SVET;2.65--GODOVIČ;6.18--JELIČNI VRH;4.25--GREGORČIČEVA ULICA;2.58--VOJKOVA ULICA;1.99--SPODNJA IDRIJA;0.23--NA VASI;0.14--IDRIJSKA CESTA;1.11--NA VASI;0.22--SLOVENSKA CESTA;0.44--TOLMINSKA CESTA;3.93--TRAVNIK;0.11--JAZNE;0.44--TRAVNIK;0.01--JAZNE;0.16--TRAVNIK;1.52--OTALEŽ;0.55--TRAVNIK;0.03--PLUŽNJE;2.22--STRAŽA;2.57--REKA;4.86--STOPNIK;6.0--DOLENJA TREBUŠA;3.86--ROČE;1.67--SLAP OB IDRIJCI;2.08--IDRIJA PRI BAČI;2.46--BAČA PRI MODREJU;1.43--MOST NA SOČI;1.65--MODREJ;1.54--PRAPETNO;0.72--POLJUBINJ;2.16
Komunala Trebnje d.o.o.,Hudeje 40,Trebnje,8210 Trebnje,JUGOVZHODNA,45.93623765;15.02808968,0,58.08,36,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;36.86--TREBNJE - ZAHOD;0.19--PRIKLJUČEK TREBNJE - ZAHOD;0.39--BREZA;0.64--ŠTEFAN PRI TREBNJEM;0.96--BENEČIJA;0.9--CESTA VILME BUKOVEC;0.38--TREBNJE;0.19--BARAGOV TRG;0.22--RIMSKA CESTA;0.01--GOLIEV TRG;0.09--KIDRIČEVA ULICA;0.43--ROŽNA ULICA;0.02--KIDRIČEVA ULICA;0.48--PEKEL;0.79--RAČJE SELO;0.97--HUDEJE;0.07--VEJAR;0.28--HUDEJE;1.84
"Komunala Zagorje, d.o.o.",Dolenja vas,Zagorje ob Savi,1410 Zagorje ob Savi,ZASAVSKA,46.13230642;14.99026083,0,63.15,42,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;31.98--TROJANE;0.14--V ZIDEH;0.23--PREDOR V ZIDEH;0.31--V ZIDEH;0.38--POLŠINA;0.46--HRASTNIK PRI TROJANAH;0.21--POLŠINA;0.01--HRASTNIK PRI TROJANAH;0.14--POLŠINA;0.47--HRASTNIK PRI TROJANAH;0.11--POLŠINA;0.02--HRASTNIK PRI TROJANAH;0.05--POLŠINA;0.04--HRASTNIK PRI TROJANAH;0.02--POLŠINA;0.07--HRASTNIK PRI TROJANAH;0.01--POLŠINA;0.13--OREHOVICA;1.64--PODLIPOVICA;0.69--MEDIJSKE TOPLICE;0.42--IZLAKE;0.71--OBREZIJA;0.79--SPODNJE IZLAKE;0.96--IZLAKE;0.32--LOKE PRI ZAGORJU;0.99--BOROVNIŠKO NASELJE;0.48--TRG POHORSKEGA BATALJONA;0.17--RUDARSKA CESTA;0.08--PETELINKARJEVA CESTA;0.38--PODKRAJ PRI ZAGORJU;0.11--LOKE PRI ZAGORJU;0.04--PODKRAJ PRI ZAGORJU;0.4--LOKE PRI ZAGORJU;0.48--CESTA OTONA ŽUPANČIČA;0.57--EBERLOVA CESTA;0.18--OKROGARJEVA KOLONIJA;0.17--PREČNA POT;0.23--DOLENJA VAS;0.34
KOP Brežice d.d.,Boršt,Brežice,8263 Cerklje ob Krki,SPODNJEPOSAVSKA,45.59832867;15.27055671,0,107.78,74,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;57.09--NOVO MESTO - VZHOD;0.11--PRIKLJUČEK NOVO MESTO - VZHOD;0.23--NA BREZOVICI;0.33--ZAGREBŠKA CESTA;0.97--ANDRIJANIČEVA CESTA;1.05--LEVIČNIKOVA CESTA;1.77--BELOKRANJSKA CESTA;2.65--ČRMOŠNJICE PRI STOPIČAH;1.5--DOLNJA TEŽKA VODA;1.48--KOROŠKA VAS;1.82--VINJA VAS;5.51--PRELAZ VAHTA;0.41--IGLENIK;0.66--JUGORJE PRI METLIKI;1.36--BOŽIČ VRH;0.38--ŠKEMLJEVEC;0.49--DOLE;0.03--MAČKOVEC PRI SUHORJU;0.02--DOLE;1.34--HRAST PRI JUGORJU;0.97--BEREČA VAS;0.88--DOLNJI SUHOR PRI METLIKI;0.34--BEREČA VAS;1.11--BUŠINJA VAS;0.3--DOLNJA LOKVICA;0.91--GORNJA LOKVICA;0.32--TRNOVEC;1.24--METLIKA;0.04--BOČKA;1.32--CESTA XV. BRIGADE;1.13--METLIKA;0.58--KRIŽEVSKA VAS;2.13--PRIMOSTEK;1.08--GRM PRI PODZEMLJU;0.38--OTOK;0.05--GRM PRI PODZEMLJU;0.8--PODZEMELJ;1.25--ŠKRILJE;0.68--;0.53--BORŠT;0.16
KP Ilirska Bistrica,Prešernova ulica 7,Ilirska Bistrica,6250 Ilirska Bistrica,NOTRANJO-KRAŠKA,46.22848996;15.26454751,0,86.59,51,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;61.49--CELJE - ZAHOD;0.48--PRIKLJUČEK LOPATA;0.02--LOPATA;0.47--MEDLOG;2.96--CELJE;1.59--ČOPOVA ULICA;0.26--LJUBLJANSKA CESTA;0.84--TRG CELJSKIH KNEZOV;0.04--PREŠERNOVA ULICA;0.24
KP Ormož d.o.o.,Hardek 21 C,Ormož,2270 Ormož,PODRAVSKA,46.41322794;16.15806739,0,173.46,98,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;108.26--A4;18.87--RAZCEP DRAŽENCI;0.62--OBVOZNICA;2.75--PUHOV MOST;0.46--OBVOZNICA;0.55--ORMOŠKA CESTA;1.35--SPUHLJA;2.76--BOROVCI;1.61--MEZGOVCI OB PESNICI;1.65--MOŠKANJCI;0.46--CUNKOVCI;0.06--MOŠKANJCI;1.58--GORIŠNICA;2.53--ZAMUŠANI;0.66--OSLUŠEVCI;0.87--CVETKOVCI;1.61--TRGOVIŠČE;0.21--CVETKOVCI;0.09--TRGOVIŠČE;1.94--MIHOVCI PRI VEL. NEDELJI;2.24--ORMOŽ;0.15--OBVOZNICA ORMOŽ;3.03--LJUTOMERSKA CESTA;0.33--ORMOŽ;0.01--LJUTOMERSKA CESTA;0.09--ORMOŽ;0.06--HARDEK;0.44
KP Tržič d.o.o.,Pristava,Pristava,3253 Pristava,SAVINJSKA,45.73292076;15.19102917,0,83.8,51,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;57.09--NOVO MESTO - VZHOD;0.11--PRIKLJUČEK NOVO MESTO - VZHOD;0.23--NA BREZOVICI;0.33--ZAGREBŠKA CESTA;0.97--ANDRIJANIČEVA CESTA;1.05--LEVIČNIKOVA CESTA;1.77--BELOKRANJSKA CESTA;2.65--ČRMOŠNJICE PRI STOPIČAH;1.5--DOLNJA TEŽKA VODA;1.48--KOROŠKA VAS;3.31--PRISTAVA;0.96
KP Vrhnika d.d.,Pot na Tojnice 40,Vrhnika,1360 Vrhnika,OSREDNJESLOVENSKA,45.97403252;14.3131743,0,15.5,10,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;12.1--VRHNIKA;0.27--PRIKLJUČEK VRHNIKA;0.21--LJUBLJANSKA CESTA;0.29--OPEKARSKA CESTA;0.4--POT NA TOJNICE;0.75
KSD d.o.o. Ajdovščina,Dolga Poljana 1 I,Ajdovščina,5271 Vipava,GORIŠKA,45.869709;13.92019393,0,73.55,41,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;12.77--VIPAVA;0.16--GORIŠKA CESTA;0.06--VIPAVA;0.02--GORIŠKA CESTA;2.23--ZEMONO;0.56--DUPLJE;1.0--BUDANJE;0.6--DOLGA POLJANA;0.89--;0.56
KSP d.d. Sežana,Pod kostanji 4,Komen,6223 Komen,OBALNO-KRAŠKA,46.18900031;14.5314561,0,25.71,18,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;17.11--VODICE;0.18--PRIKLJUČEK VODICE;0.25--ŠKOFJELOŠKA CESTA;0.28--VODICE;0.03--KOPITARJEV TRG;0.17--VODIŠKA CESTA;0.87--VODICE;0.49--BUKOVICA PRI VODICAH;0.21--BREG PRI KOMENDI;0.24--ŽEJE PRI KOMENDI;1.14--;0.28--POD GABRI;0.57--POD BORI;0.27
